Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
LY,611,2024-03-12 08:20:00,2024-03-12 09:20:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED
S7,4482,2024-03-12 08:20:00,2024-03-12 09:20:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED
AR,7879,2024-03-12 09:10:00,2024-03-12 09:27:00,D,FCO,ROME,ITALY,3,DEPARTED
LY,383,2024-03-12 09:10:00,2024-03-12 09:27:00,D,FCO,ROME,ITALY,3,DEPARTED
TP,8900,2024-03-12 09:10:00,2024-03-12 09:27:00,D,FCO,ROME,ITALY,3,DEPARTED
AA,9261,2024-03-12 09:15:00,2024-03-12 09:35:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
AM,7863,2024-03-12 09:15:00,2024-03-12 09:35:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
LY,315,2024-03-12 09:15:00,2024-03-12 09:35:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
SK,3181,2024-03-12 09:15:00,2024-03-12 09:35:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
EK,2450,2024-03-12 09:30:00,2024-03-12 09:47:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1081,2024-03-12 09:30:00,2024-03-12 09:47:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
EK,2370,2024-03-12 09:20:00,2024-03-12 09:49:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1550,2024-03-12 09:20:00,2024-03-12 09:49:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
W4,3258,2024-03-12 09:20:00,2024-03-12 09:54:00,D,OTP,BUCHAREST,ROMANIA,3,DEPARTED
IZ,807,2024-03-12 09:30:00,2024-03-12 09:55:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
6H,044,2024-03-12 10:00:00,2024-03-12 10:06:00,A,ETM,RAMON,ISRAEL,3,LANDED
A4,5025,2024-03-12 10:20:00,2024-03-12 10:11:00,A,AER,SOCHI,RUSSIAN FEDERATION,3,LANDED
