CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,542,EL AL ISRAEL AIRLINES,2024-03-12T13:50:00,2024-03-12T13:50:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
6H,886,ISRAIR AIRLINES,2024-03-12T13:55:00,2024-03-12T13:55:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
CY,110,CYPRUS AIRWAYS,2024-03-12T14:00:00,2024-03-12T14:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,5107,EL AL ISRAEL AIRLINES,2024-03-12T14:05:00,2024-03-12T14:05:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,ON TIME,בזמן
LY,5120,EL AL ISRAEL AIRLINES,2024-03-12T14:15:00,2024-03-12T14:15:00,A,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3,,,NOT FINAL,לא סופי
AF,962,AIR FRANCE,2024-03-12T14:20:00,2024-03-12T14:20:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
AZ,806,ITALIA TRASPORTO AEREO,2024-03-12T14:20:00,2024-03-12T14:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
B6,6482,JETBLUE AIRWAYS CORPORATION,2024-03-12T14:20:00,2024-03-12T14:20:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
DL,7442,DELTA AIRLINES,2024-03-12T14:20:00,2024-03-12T14:20:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
DL,8457,DELTA AIRLINES,2024-03-12T14:20:00,2024-03-12T14:20:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
EK,2346,EMIRATES,2024-03-12T14:20:00,2024-03-12T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,ON TIME,בזמן
FZ,1126,FLYDUBAI,2024-03-12T14:20:00,2024-03-12T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,ON TIME,בזמן
JU,7378,AIR SERBIA,2024-03-12T14:20:00,2024-03-12T14:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
