CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
BZ,703,BLUE BIRD AIRWAYS,2024-03-10T17:25:00,2024-03-10T17:37:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDING,בנחיתה
AM,7877,AERO MEXICO,2024-03-10T17:00:00,2024-03-10T17:40:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
IZ,281,ARKIA  ISRAELI  AIRLINES,2024-03-10T17:20:00,2024-03-10T17:40:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,41-45,B,ON TIME,בזמן
LY,2367,EL AL ISRAEL AIRLINES,2024-03-10T17:10:00,2024-03-10T17:40:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,ON TIME,בזמן
LY,317,EL AL ISRAEL AIRLINES,2024-03-10T17:00:00,2024-03-10T17:40:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
LY,2523,EL AL ISRAEL AIRLINES,2024-03-10T17:45:00,2024-03-10T17:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,ON TIME,בזמן
IB,2390,IBERIA,2024-03-10T17:50:00,2024-03-10T17:50:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
LY,351,EL AL ISRAEL AIRLINES,2024-03-10T17:15:00,2024-03-10T17:50:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
LY,391,EL AL ISRAEL AIRLINES,2024-03-10T17:50:00,2024-03-10T17:50:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
AA,9266,AMERICAN AIRLINES,2024-03-10T17:50:00,2024-03-10T18:00:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,FINAL,סופי
AM,7859,AERO MEXICO,2024-03-10T17:50:00,2024-03-10T18:00:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,FINAL,סופי
AR,7872,AEROLINEAS ARGENTINAS S.A.,2024-03-10T17:50:00,2024-03-10T18:00:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,FINAL,סופי
IB,2395,IBERIA,2024-03-10T17:50:00,2024-03-10T18:00:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,FINAL,סופי
LY,396,EL AL ISRAEL AIRLINES,2024-03-10T17:50:00,2024-03-10T18:00:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,FINAL,סופי
6H,711,ISRAIR AIRLINES,2024-03-10T17:30:00,2024-03-10T18:00:00,D,VAR,VARNA,וארנה,VARNA,בולגריה,BULGARIA,3,52-55,B,ON TIME,בזמן
6H,721,ISRAIR AIRLINES,2024-03-10T18:00:00,2024-03-10T18:00:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,49-52,B,ON TIME,בזמן
B6,6470,JETBLUE AIRWAYS CORPORATION,2024-03-10T18:15:00,2024-03-10T18:03:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
DL,7451,DELTA AIRLINES,2024-03-10T18:15:00,2024-03-10T18:03:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
LY,118,EL AL ISRAEL AIRLINES,2024-03-10T18:15:00,2024-03-10T18:03:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
LY,571,EL AL ISRAEL AIRLINES,2024-03-10T17:50:00,2024-03-10T18:05:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,ON TIME,בזמן
IZ,1294,ARKIA  ISRAELI  AIRLINES,2024-03-10T18:10:00,2024-03-10T18:12:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,FINAL,סופי
AR,7879,AEROLINEAS ARGENTINAS S.A.,2024-03-10T18:00:00,2024-03-10T18:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
LY,383,EL AL ISRAEL AIRLINES,2024-03-10T18:00:00,2024-03-10T18:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
TP,8900,AIR PORTUGAL,2024-03-10T18:00:00,2024-03-10T18:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
BZ,704,BLUE BIRD AIRWAYS,2024-03-10T18:20:00,2024-03-10T18:20:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,12-14,A,ON TIME,בזמן
LX,253,SWISS INT`L  AIRLINES,2024-03-10T18:20:00,2024-03-10T18:20:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,21-33,A,ON TIME,בזמן
IZ,161,ARKIA  ISRAELI  AIRLINES,2024-03-10T18:35:00,2024-03-10T18:35:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,38-41,B,ON TIME,בזמן
5F,447,FLYONE,2024-03-10T18:55:00,2024-03-10T18:39:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,FINAL,סופי
AM,7865,AERO MEXICO,2024-03-10T15:45:00,2024-03-10T18:40:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AR,7857,AEROLINEAS ARGENTINAS S.A.,2024-03-10T15:45:00,2024-03-10T18:40:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6457,JETBLUE AIRWAYS CORPORATION,2024-03-10T15:45:00,2024-03-10T18:40:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7432,DELTA AIRLINES,2024-03-10T15:45:00,2024-03-10T18:40:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,011,EL AL ISRAEL AIRLINES,2024-03-10T15:45:00,2024-03-10T18:40:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
6H,726,ISRAIR AIRLINES,2024-03-10T18:55:00,2024-03-10T18:45:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,FINAL,סופי
B6,6460,JETBLUE AIRWAYS CORPORATION,2024-03-10T19:10:00,2024-03-10T18:50:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
DL,7434,DELTA AIRLINES,2024-03-10T19:10:00,2024-03-10T18:50:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
LY,014,EL AL ISRAEL AIRLINES,2024-03-10T19:10:00,2024-03-10T18:50:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
IZ,822,ARKIA  ISRAELI  AIRLINES,2024-03-10T18:55:00,2024-03-10T18:55:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
6H,142,ISRAIR AIRLINES,2024-03-10T19:15:00,2024-03-10T19:00:00,A,GNB,GRENOBLE-SAUNT GEOIRS,גרנובל,GRENOBLE,צרפת,FRANCE,3,,,FINAL,סופי
IZ,363,ARKIA  ISRAELI  AIRLINES,2024-03-10T19:10:00,2024-03-10T19:10:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,34-38,B,ON TIME,בזמן
LY,543,EL AL ISRAEL AIRLINES,2024-03-10T19:15:00,2024-03-10T19:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,ON TIME,בזמן
LY,5108,EL AL ISRAEL AIRLINES,2024-03-10T19:20:00,2024-03-10T19:37:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,FINAL,סופי
IZ,827,ARKIA  ISRAELI  AIRLINES,2024-03-10T19:40:00,2024-03-10T19:40:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,ON TIME,בזמן
AI,139,AIR INDIA,2024-03-10T19:25:00,2024-03-10T19:45:00,A,DEL,DELHI,דלהי,NEW DELHI,הודו,INDIA,3,,,FINAL,סופי
5F,448,FLYONE,2024-03-10T20:00:00,2024-03-10T20:00:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,44-47,B,ON TIME,בזמן
6H,891,ISRAIR AIRLINES,2024-03-10T20:00:00,2024-03-10T20:00:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,52-55,B,ON TIME,בזמן
LY,342,EL AL ISRAEL AIRLINES,2024-03-10T19:10:00,2024-03-10T20:09:00,A,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,,,FINAL,סופי
U8,102,TUS AIRWAYS,2024-03-10T20:20:00,2024-03-10T20:20:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,5133,EL AL ISRAEL AIRLINES,2024-03-10T20:30:00,2024-03-10T20:30:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,ON TIME,בזמן
W4,8287,WIZZ AIR MALTA,2024-03-10T20:35:00,2024-03-10T20:35:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
AA,9259,AMERICAN AIRLINES,2024-03-10T20:00:00,2024-03-10T20:39:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,FINAL,סופי
AM,7862,AERO MEXICO,2024-03-10T20:00:00,2024-03-10T20:39:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,FINAL,סופי
LY,324,EL AL ISRAEL AIRLINES,2024-03-10T20:00:00,2024-03-10T20:39:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,FINAL,סופי
SK,3160,SAS,2024-03-10T20:00:00,2024-03-10T20:39:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,FINAL,סופי
AA,9260,AMERICAN AIRLINES,2024-03-10T21:05:00,2024-03-10T21:10:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,FINAL,סופי
AI,140,AIR INDIA,2024-03-10T21:10:00,2024-03-10T21:10:00,D,DEL,DELHI,דלהי,NEW DELHI,הודו,INDIA,3,56-62,C,ON TIME,בזמן
LY,316,EL AL ISRAEL AIRLINES,2024-03-10T21:05:00,2024-03-10T21:10:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,FINAL,סופי
W4,8288,WIZZ AIR MALTA,2024-03-10T21:25:00,2024-03-10T21:25:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,39-42,B,ON TIME,בזמן
IZ,162,ARKIA  ISRAELI  AIRLINES,2024-03-10T21:35:00,2024-03-10T21:35:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,974,EL AL ISRAEL AIRLINES,2024-03-10T21:25:00,2024-03-10T21:39:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,FINAL,סופי
IZ,828,ARKIA  ISRAELI  AIRLINES,2024-03-10T21:45:00,2024-03-10T21:45:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
LY,5130,EL AL ISRAEL AIRLINES,2024-03-10T21:50:00,2024-03-10T21:50:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,NOT FINAL,לא סופי
6H,723,ISRAIR AIRLINES,2024-03-10T21:50:00,2024-03-10T21:50:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,49-52,B,ON TIME,בזמן
H7,457,HISKY,2024-03-10T22:00:00,2024-03-10T22:00:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,NOT FINAL,לא סופי
LY,081,EL AL ISRAEL AIRLINES,2024-03-10T22:00:00,2024-03-10T22:00:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
QF,5020,QANTAS AIRWAYS,2024-03-10T22:00:00,2024-03-10T22:00:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
TG,4584,THAI AIRWAYS,2024-03-10T22:00:00,2024-03-10T22:00:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
VN,3298,VIETNAM AIRLINES,2024-03-10T22:00:00,2024-03-10T22:00:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
IZ,552,ARKIA  ISRAELI  AIRLINES,2024-03-10T21:20:00,2024-03-10T22:02:00,A,RVN,ROVANIEMI,רובניימי,ROVANIEMI,פינלנד,FINLAND,3,,,FINAL,סופי
IZ,418,ARKIA  ISRAELI  AIRLINES,2024-03-10T22:05:00,2024-03-10T22:05:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
WZ,015,RED WINGS AIRLINES,2024-03-10T22:45:00,2024-03-10T22:45:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
LY,084,EL AL ISRAEL AIRLINES,2024-03-10T22:50:00,2024-03-10T22:46:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,FINAL,סופי
QF,5019,QANTAS AIRWAYS,2024-03-10T22:50:00,2024-03-10T22:46:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,FINAL,סופי
TG,4585,THAI AIRWAYS,2024-03-10T22:50:00,2024-03-10T22:46:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,FINAL,סופי
VN,3295,VIETNAM AIRLINES,2024-03-10T22:50:00,2024-03-10T22:46:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,FINAL,סופי
H7,458,HISKY,2024-03-10T23:00:00,2024-03-10T23:00:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,63-65,C,ON TIME,בזמן
6H,712,ISRAIR AIRLINES,2024-03-10T23:15:00,2024-03-10T23:15:00,A,VAR,VARNA,וארנה,VARNA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
RO,2153,TAROM - RUMANIAN AIR TRANSPORT,2024-03-10T23:20:00,2024-03-10T23:20:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
LY,5134,EL AL ISRAEL AIRLINES,2024-03-10T23:40:00,2024-03-10T23:40:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,5110,EL AL ISRAEL AIRLINES,2024-03-10T23:50:00,2024-03-10T23:50:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
B6,6481,JETBLUE AIRWAYS CORPORATION,2024-03-11T00:05:00,2024-03-11T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7441,DELTA AIRLINES,2024-03-11T00:05:00,2024-03-11T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,025,EL AL ISRAEL AIRLINES,2024-03-11T00:05:00,2024-03-11T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
WZ,016,RED WINGS AIRLINES,2024-03-11T00:05:00,2024-03-11T00:05:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,69-72,C,ON TIME,בזמן
6H,722,ISRAIR AIRLINES,2024-03-11T00:10:00,2024-03-11T00:10:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
LY,572,EL AL ISRAEL AIRLINES,2024-03-11T00:20:00,2024-03-11T00:20:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
RO,2154,TAROM - RUMANIAN AIR TRANSPORT,2024-03-11T00:20:00,2024-03-11T00:20:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,66-68,C,ON TIME,בזמן
LY,544,EL AL ISRAEL AIRLINES,2024-03-11T00:25:00,2024-03-11T00:25:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
ET,404,ETHIOPIAN AIRLINES,2024-03-11T00:35:00,2024-03-11T00:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
LY,356,EL AL ISRAEL AIRLINES,2024-03-11T00:35:00,2024-03-11T00:35:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
LY,364,EL AL ISRAEL AIRLINES,2024-03-11T00:35:00,2024-03-11T00:35:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
LY,8804,EL AL ISRAEL AIRLINES,2024-03-11T00:35:00,2024-03-11T00:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
AM,7869,AERO MEXICO,2024-03-11T00:45:00,2024-03-11T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AM,7875,AERO MEXICO,2024-03-11T00:45:00,2024-03-11T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-03-11T00:45:00,2024-03-11T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
BZ,461,BLUE BIRD AIRWAYS,2024-03-11T00:45:00,2024-03-11T00:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-03-11T00:45:00,2024-03-11T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-03-11T00:45:00,2024-03-11T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7424,DELTA AIRLINES,2024-03-11T00:45:00,2024-03-11T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7428,DELTA AIRLINES,2024-03-11T00:45:00,2024-03-11T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,001,EL AL ISRAEL AIRLINES,2024-03-11T00:45:00,2024-03-11T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,005,EL AL ISRAEL AIRLINES,2024-03-11T00:45:00,2024-03-11T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,2368,EL AL ISRAEL AIRLINES,2024-03-11T00:55:00,2024-03-11T00:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-03-11T01:00:00,2024-03-11T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6467,JETBLUE AIRWAYS CORPORATION,2024-03-11T01:00:00,2024-03-11T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6483,JETBLUE AIRWAYS CORPORATION,2024-03-11T01:00:00,2024-03-11T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7437,DELTA AIRLINES,2024-03-11T01:00:00,2024-03-11T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7443,DELTA AIRLINES,2024-03-11T01:00:00,2024-03-11T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,017,EL AL ISRAEL AIRLINES,2024-03-11T01:00:00,2024-03-11T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,027,EL AL ISRAEL AIRLINES,2024-03-11T01:00:00,2024-03-11T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,157,EL AL ISRAEL AIRLINES,2024-03-11T01:00:00,2024-03-11T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,3009,EL AL ISRAEL AIRLINES,2024-03-11T01:00:00,2024-03-11T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,CANCELED,מבוטלת
LY,328,EL AL ISRAEL AIRLINES,2024-03-11T01:25:00,2024-03-11T01:25:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
SK,3162,SAS,2024-03-11T01:25:00,2024-03-11T01:25:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
ET,405,ETHIOPIAN AIRLINES,2024-03-11T01:30:00,2024-03-11T01:30:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,ON TIME,בזמן
LY,8807,EL AL ISRAEL AIRLINES,2024-03-11T01:30:00,2024-03-11T01:30:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,ON TIME,בזמן
LY,288,EL AL ISRAEL AIRLINES,2024-03-11T02:10:00,2024-03-11T02:10:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,344,EL AL ISRAEL AIRLINES,2024-03-11T02:10:00,2024-03-11T02:10:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
LY,352,EL AL ISRAEL AIRLINES,2024-03-11T02:10:00,2024-03-11T02:10:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SK,3178,SAS,2024-03-11T02:10:00,2024-03-11T02:10:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SK,3182,SAS,2024-03-11T02:10:00,2024-03-11T02:10:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
SK,3190,SAS,2024-03-11T02:10:00,2024-03-11T02:10:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
AR,7878,AEROLINEAS ARGENTINAS S.A.,2024-03-11T02:15:00,2024-03-11T02:15:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,284,EL AL ISRAEL AIRLINES,2024-03-11T02:15:00,2024-03-11T02:15:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
TP,8939,AIR PORTUGAL,2024-03-11T02:15:00,2024-03-11T02:15:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,2374,EL AL ISRAEL AIRLINES,2024-03-11T02:20:00,2024-03-11T02:20:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SK,3156,SAS,2024-03-11T02:20:00,2024-03-11T02:20:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
6H,892,ISRAIR AIRLINES,2024-03-11T02:25:00,2024-03-11T02:25:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
LY,2524,EL AL ISRAEL AIRLINES,2024-03-11T02:45:00,2024-03-11T02:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
