CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHRMINE,CHRMINH
QF,5019,QANTAS AIRWAYS,2024-03-17T22:50:00,2024-03-17T22:37:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,FINAL,סופי
TG,4585,THAI AIRWAYS,2024-03-17T22:50:00,2024-03-17T22:37:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,FINAL,סופי
VN,3295,VIETNAM AIRLINES,2024-03-17T22:50:00,2024-03-17T22:37:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,FINAL,סופי
WZ,015,RED WINGS AIRLINES,2024-03-17T22:45:00,2024-03-17T22:40:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,FINAL,סופי
IZ,296,ARKIA  ISRAELI  AIRLINES,2024-03-17T22:15:00,2024-03-17T22:57:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,FINAL,סופי
6H,712,ISRAIR AIRLINES,2024-03-17T23:10:00,2024-03-17T23:10:00,A,VAR,VARNA,וארנה,VARNA,בולגריה,BULGARIA,3,NOT FINAL,לא סופי
H7,457,HISKY,2024-03-17T22:00:00,2024-03-17T23:14:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,FINAL,סופי
RO,2153,TAROM - RUMANIAN AIR TRANSPORT,2024-03-17T23:20:00,2024-03-17T23:20:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,NOT FINAL,לא סופי
IZ,418,ARKIA  ISRAELI  AIRLINES,2024-03-17T21:20:00,2024-03-17T23:34:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,FINAL,סופי
LY,5134,EL AL ISRAEL AIRLINES,2024-03-17T23:40:00,2024-03-17T23:40:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,NOT FINAL,לא סופי
LY,5110,EL AL ISRAEL AIRLINES,2024-03-17T23:50:00,2024-03-17T23:50:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,NOT FINAL,לא סופי
WZ,9015,RED WINGS AIRLINES,2024-03-17T23:50:00,2024-03-17T23:50:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,CANCELED,מבוטלת
H7,458,HISKY,2024-03-17T23:00:00,2024-03-18T00:00:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,ON TIME,בזמן
ET,404,ETHIOPIAN AIRLINES,2024-03-18T00:35:00,2024-03-18T00:00:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,FINAL,סופי
LY,8804,EL AL ISRAEL AIRLINES,2024-03-18T00:35:00,2024-03-18T00:00:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,FINAL,סופי
B6,6481,JETBLUE AIRWAYS CORPORATION,2024-03-18T00:05:00,2024-03-18T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
DL,7441,DELTA AIRLINES,2024-03-18T00:05:00,2024-03-18T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
LY,025,EL AL ISRAEL AIRLINES,2024-03-18T00:05:00,2024-03-18T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
WZ,016,RED WINGS AIRLINES,2024-03-18T00:05:00,2024-03-18T00:05:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,ON TIME,בזמן
6H,722,ISRAIR AIRLINES,2024-03-18T00:10:00,2024-03-18T00:10:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,NOT FINAL,לא סופי
RO,2154,TAROM - RUMANIAN AIR TRANSPORT,2024-03-18T00:20:00,2024-03-18T00:20:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,ON TIME,בזמן
LY,544,EL AL ISRAEL AIRLINES,2024-03-18T00:25:00,2024-03-18T00:25:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,NOT FINAL,לא סופי
LY,364,EL AL ISRAEL AIRLINES,2024-03-18T00:35:00,2024-03-18T00:35:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,NOT FINAL,לא סופי
AM,7869,AERO MEXICO,2024-03-18T00:45:00,2024-03-18T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
AM,7875,AERO MEXICO,2024-03-18T00:45:00,2024-03-18T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-03-18T00:45:00,2024-03-18T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
BZ,461,BLUE BIRD AIRWAYS,2024-03-18T00:45:00,2024-03-18T00:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,NOT FINAL,לא סופי
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-03-18T00:45:00,2024-03-18T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-03-18T00:45:00,2024-03-18T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
DL,7424,DELTA AIRLINES,2024-03-18T00:45:00,2024-03-18T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
DL,7428,DELTA AIRLINES,2024-03-18T00:45:00,2024-03-18T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
LY,001,EL AL ISRAEL AIRLINES,2024-03-18T00:45:00,2024-03-18T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
LY,005,EL AL ISRAEL AIRLINES,2024-03-18T00:45:00,2024-03-18T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
LY,572,EL AL ISRAEL AIRLINES,2024-03-18T00:50:00,2024-03-18T00:50:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,NOT FINAL,לא סופי
LY,2368,EL AL ISRAEL AIRLINES,2024-03-18T00:55:00,2024-03-18T00:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,NOT FINAL,לא סופי
AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-03-18T01:00:00,2024-03-18T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
B6,6467,JETBLUE AIRWAYS CORPORATION,2024-03-18T01:00:00,2024-03-18T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
B6,6483,JETBLUE AIRWAYS CORPORATION,2024-03-18T01:00:00,2024-03-18T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
DL,7437,DELTA AIRLINES,2024-03-18T01:00:00,2024-03-18T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
DL,7443,DELTA AIRLINES,2024-03-18T01:00:00,2024-03-18T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
LY,017,EL AL ISRAEL AIRLINES,2024-03-18T01:00:00,2024-03-18T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
LY,027,EL AL ISRAEL AIRLINES,2024-03-18T01:00:00,2024-03-18T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
WZ,9016,RED WINGS AIRLINES,2024-03-18T01:00:00,2024-03-18T01:00:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,CANCELED,מבוטלת
LY,092,EL AL ISRAEL AIRLINES,2024-03-18T00:15:00,2024-03-18T01:23:00,A,NRT,TOKYO INTL.-NARITA,טוקיו,TOKYO,יפן,JAPAN,3,FINAL,סופי
LY,614,EL AL ISRAEL AIRLINES,2024-03-18T00:20:00,2024-03-18T01:24:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,FINAL,סופי
S7,4485,SIBERIA AIRLINES,2024-03-18T00:20:00,2024-03-18T01:24:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,FINAL,סופי
ET,405,ETHIOPIAN AIRLINES,2024-03-18T01:30:00,2024-03-18T01:30:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,ON TIME,בזמן
LY,8807,EL AL ISRAEL AIRLINES,2024-03-18T01:30:00,2024-03-18T01:30:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,ON TIME,בזמן
LY,288,EL AL ISRAEL AIRLINES,2024-03-18T02:10:00,2024-03-18T02:10:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,NOT FINAL,לא סופי
LY,344,EL AL ISRAEL AIRLINES,2024-03-18T02:10:00,2024-03-18T02:10:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,NOT FINAL,לא סופי
SK,3182,SAS,2024-03-18T02:10:00,2024-03-18T02:10:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,NOT FINAL,לא סופי
