CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHRMINE,CHRMINH
B6,6456,JETBLUE AIRWAYS CORPORATION,2024-03-18T16:10:00,2024-03-18T16:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,NOT FINAL,לא סופי
DL,7431,DELTA AIRLINES,2024-03-18T16:10:00,2024-03-18T16:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,NOT FINAL,לא סופי
LY,008,EL AL ISRAEL AIRLINES,2024-03-18T16:10:00,2024-03-18T16:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,NOT FINAL,לא סופי
LY,339,EL AL ISRAEL AIRLINES,2024-03-18T16:10:00,2024-03-18T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,ON TIME,בזמן
SK,3151,SAS,2024-03-18T16:10:00,2024-03-18T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,ON TIME,בזמן
AR,7879,AEROLINEAS ARGENTINAS S.A.,2024-03-18T16:15:00,2024-03-18T16:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,ON TIME,בזמן
LY,383,EL AL ISRAEL AIRLINES,2024-03-18T16:15:00,2024-03-18T16:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,ON TIME,בזמן
TP,8900,AIR PORTUGAL,2024-03-18T16:15:00,2024-03-18T16:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,ON TIME,בזמן
U8,109,TUS AIRWAYS,2024-03-18T16:20:00,2024-03-18T16:20:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,ON TIME,בזמן
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-03-18T16:35:00,2024-03-18T16:35:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,NOT FINAL,לא סופי
LH,687,LUFTHANSA,2024-03-18T16:35:00,2024-03-18T16:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,ON TIME,בזמן
SN,7174,BRUSSELS AIRLINES,2024-03-18T16:35:00,2024-03-18T16:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,ON TIME,בזמן
UA,9123,UNITED AIRLINES,2024-03-18T16:35:00,2024-03-18T16:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,ON TIME,בזמן
AA,9258,AMERICAN AIRLINES,2024-03-18T16:40:00,2024-03-18T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,NOT FINAL,לא סופי
IB,2393,IBERIA,2024-03-18T16:40:00,2024-03-18T16:40:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,NOT FINAL,לא סופי
LY,320,EL AL ISRAEL AIRLINES,2024-03-18T16:40:00,2024-03-18T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,NOT FINAL,לא סופי
LY,394,EL AL ISRAEL AIRLINES,2024-03-18T16:40:00,2024-03-18T16:40:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,NOT FINAL,לא סופי
LY,338,EL AL ISRAEL AIRLINES,2024-03-18T16:45:00,2024-03-18T16:45:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,NOT FINAL,לא סופי
LY,363,EL AL ISRAEL AIRLINES,2024-03-18T16:45:00,2024-03-18T16:45:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,ON TIME,בזמן
SK,3150,SAS,2024-03-18T16:45:00,2024-03-18T16:45:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,NOT FINAL,לא סופי
AM,7853,AERO MEXICO,2024-03-18T16:50:00,2024-03-18T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,ON TIME,בזמן
LY,325,EL AL ISRAEL AIRLINES,2024-03-18T16:50:00,2024-03-18T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,ON TIME,בזמן
LY,5109,EL AL ISRAEL AIRLINES,2024-03-18T17:00:00,2024-03-18T17:00:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,ON TIME,בזמן
6H,045,ISRAIR AIRLINES,2024-03-18T17:00:00,2024-03-18T17:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,ON TIME,בזמן
LH,681,LUFTHANSA,2024-03-18T17:10:00,2024-03-18T17:10:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,ON TIME,בזמן
LX,252,SWISS INT`L  AIRLINES,2024-03-18T17:10:00,2024-03-18T17:10:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,NOT FINAL,לא סופי
LY,2367,EL AL ISRAEL AIRLINES,2024-03-18T17:10:00,2024-03-18T17:10:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,ON TIME,בזמן
SN,7172,BRUSSELS AIRLINES,2024-03-18T17:10:00,2024-03-18T17:10:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,ON TIME,בזמן
AM,7866,AERO MEXICO,2024-03-18T17:15:00,2024-03-18T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,ON TIME,בזמן
AM,7877,AERO MEXICO,2024-03-18T17:15:00,2024-03-18T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,ON TIME,בזמן
AR,7873,AEROLINEAS ARGENTINAS S.A.,2024-03-18T17:15:00,2024-03-18T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,ON TIME,בזמן
IB,2396,IBERIA,2024-03-18T17:15:00,2024-03-18T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,ON TIME,בזמן
LY,317,EL AL ISRAEL AIRLINES,2024-03-18T17:15:00,2024-03-18T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,ON TIME,בזמן
LY,397,EL AL ISRAEL AIRLINES,2024-03-18T17:15:00,2024-03-18T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,ON TIME,בזמן
LY,543,EL AL ISRAEL AIRLINES,2024-03-18T17:15:00,2024-03-18T17:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,ON TIME,בזמן
IZ,387,ARKIA  ISRAELI  AIRLINES,2024-03-18T17:30:00,2024-03-18T17:30:00,D,BEG,BELGRADE,בלגרד,BELGRADE,סרביה,SERBIA,3,ON TIME,בזמן
LY,348,EL AL ISRAEL AIRLINES,2024-03-18T17:35:00,2024-03-18T17:35:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,NOT FINAL,לא סופי
SK,3188,SAS,2024-03-18T17:35:00,2024-03-18T17:35:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,NOT FINAL,לא סופי
6H,726,ISRAIR AIRLINES,2024-03-18T17:45:00,2024-03-18T17:45:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,NOT FINAL,לא סופי
AA,9266,AMERICAN AIRLINES,2024-03-18T17:50:00,2024-03-18T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,NOT FINAL,לא סופי
AM,7859,AERO MEXICO,2024-03-18T17:50:00,2024-03-18T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,NOT FINAL,לא סופי
AR,7872,AEROLINEAS ARGENTINAS S.A.,2024-03-18T17:50:00,2024-03-18T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,NOT FINAL,לא סופי
IB,2395,IBERIA,2024-03-18T17:50:00,2024-03-18T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,NOT FINAL,לא סופי
IZ,821,ARKIA  ISRAELI  AIRLINES,2024-03-18T17:50:00,2024-03-18T17:50:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,ON TIME,בזמן
LY,2523,EL AL ISRAEL AIRLINES,2024-03-18T17:50:00,2024-03-18T17:50:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,ON TIME,בזמן
LY,396,EL AL ISRAEL AIRLINES,2024-03-18T17:50:00,2024-03-18T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,NOT FINAL,לא סופי
LY,571,EL AL ISRAEL AIRLINES,2024-03-18T18:10:00,2024-03-18T18:10:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,ON TIME,בזמן
LX,253,SWISS INT`L  AIRLINES,2024-03-18T18:20:00,2024-03-18T18:20:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,ON TIME,בזמן
LY,312,EL AL ISRAEL AIRLINES,2024-03-18T18:40:00,2024-03-18T18:40:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,NOT FINAL,לא סופי
6H,561,ISRAIR AIRLINES,2024-03-18T18:50:00,2024-03-18T18:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,ON TIME,בזמן
LY,387,EL AL ISRAEL AIRLINES,2024-03-18T18:55:00,2024-03-18T18:55:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,ON TIME,בזמן
SK,3183,SAS,2024-03-18T18:55:00,2024-03-18T18:55:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,ON TIME,בזמן
IZ,512,ARKIA  ISRAELI  AIRLINES,2024-03-18T19:00:00,2024-03-18T19:00:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,NOT FINAL,לא סופי
6H,046,ISRAIR AIRLINES,2024-03-18T19:30:00,2024-03-18T19:30:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,NOT FINAL,לא סופי
LY,091,EL AL ISRAEL AIRLINES,2024-03-18T19:40:00,2024-03-18T19:40:00,D,NRT,TOKYO INTL.-NARITA,טוקיו,TOKYO,יפן,JAPAN,3,ON TIME,בזמן
AA,9259,AMERICAN AIRLINES,2024-03-18T20:00:00,2024-03-18T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,NOT FINAL,לא סופי
AM,7862,AERO MEXICO,2024-03-18T20:00:00,2024-03-18T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,NOT FINAL,לא סופי
LY,324,EL AL ISRAEL AIRLINES,2024-03-18T20:00:00,2024-03-18T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,NOT FINAL,לא סופי
LY,5133,EL AL ISRAEL AIRLINES,2024-03-18T20:00:00,2024-03-18T20:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,ON TIME,בזמן
SK,3160,SAS,2024-03-18T20:00:00,2024-03-18T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,NOT FINAL,לא סופי
LY,081,EL AL ISRAEL AIRLINES,2024-03-18T20:05:00,2024-03-18T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,ON TIME,בזמן
QF,5020,QANTAS AIRWAYS,2024-03-18T20:05:00,2024-03-18T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,ON TIME,בזמן
TG,4584,THAI AIRWAYS,2024-03-18T20:05:00,2024-03-18T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,ON TIME,בזמן
VN,3298,VIETNAM AIRLINES,2024-03-18T20:05:00,2024-03-18T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,ON TIME,בזמן
WZ,4311,RED WINGS AIRLINES,2024-03-18T20:15:00,2024-03-18T20:15:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,NOT FINAL,לא סופי
LY,5108,EL AL ISRAEL AIRLINES,2024-03-18T20:20:00,2024-03-18T20:20:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,NOT FINAL,לא סופי
LY,087,EL AL ISRAEL AIRLINES,2024-03-18T20:35:00,2024-03-18T20:35:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,ON TIME,בזמן
IZ,216,ARKIA  ISRAELI  AIRLINES,2024-03-18T20:40:00,2024-03-18T20:40:00,A,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,NOT FINAL,לא סופי
IZ,822,ARKIA  ISRAELI  AIRLINES,2024-03-18T20:55:00,2024-03-18T20:55:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,NOT FINAL,לא סופי
LY,612,EL AL ISRAEL AIRLINES,2024-03-18T20:55:00,2024-03-18T20:55:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,NOT FINAL,לא סופי
S7,4483,SIBERIA AIRLINES,2024-03-18T20:55:00,2024-03-18T20:55:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,NOT FINAL,לא סופי
AA,9260,AMERICAN AIRLINES,2024-03-18T21:05:00,2024-03-18T21:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,NOT FINAL,לא סופי
LY,316,EL AL ISRAEL AIRLINES,2024-03-18T21:05:00,2024-03-18T21:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,NOT FINAL,לא סופי
W9,4451,WIZZ UK,2024-03-18T21:05:00,2024-03-18T21:05:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,NOT FINAL,לא סופי
LY,974,EL AL ISRAEL AIRLINES,2024-03-18T21:25:00,2024-03-18T21:25:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,NOT FINAL,לא סופי
6H,583,ISRAIR AIRLINES,2024-03-18T21:35:00,2024-03-18T21:35:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,ON TIME,בזמן
W9,4452,WIZZ UK,2024-03-18T22:00:00,2024-03-18T22:00:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,ON TIME,בזמן
LY,544,EL AL ISRAEL AIRLINES,2024-03-18T22:25:00,2024-03-18T22:25:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,NOT FINAL,לא סופי
6H,844,ISRAIR AIRLINES,2024-03-18T22:25:00,2024-03-18T22:25:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,NOT FINAL,לא סופי
LY,5102,EL AL ISRAEL AIRLINES,2024-03-18T23:10:00,2024-03-18T23:10:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,NOT FINAL,לא סופי
LY,5134,EL AL ISRAEL AIRLINES,2024-03-18T23:10:00,2024-03-18T23:10:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,NOT FINAL,לא סופי
WZ,012,RED WINGS AIRLINES,2024-03-18T23:10:00,2024-03-18T23:10:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,ON TIME,בזמן
LY,5110,EL AL ISRAEL AIRLINES,2024-03-18T23:20:00,2024-03-18T23:20:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,NOT FINAL,לא סופי
RO,155,TAROM - RUMANIAN AIR TRANSPORT,2024-03-18T23:20:00,2024-03-18T23:20:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,NOT FINAL,לא סופי
6H,768,ISRAIR AIRLINES,2024-03-18T23:45:00,2024-03-18T23:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,NOT FINAL,לא סופי
BZ,461,BLUE BIRD AIRWAYS,2024-03-19T00:05:00,2024-03-19T00:05:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,NOT FINAL,לא סופי
B6,6481,JETBLUE AIRWAYS CORPORATION,2024-03-19T00:05:00,2024-03-19T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
DL,7441,DELTA AIRLINES,2024-03-19T00:05:00,2024-03-19T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
LY,025,EL AL ISRAEL AIRLINES,2024-03-19T00:05:00,2024-03-19T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
6H,562,ISRAIR AIRLINES,2024-03-19T00:05:00,2024-03-19T00:05:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,NOT FINAL,לא סופי
LY,328,EL AL ISRAEL AIRLINES,2024-03-19T00:10:00,2024-03-19T00:10:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,NOT FINAL,לא סופי
SK,3162,SAS,2024-03-19T00:10:00,2024-03-19T00:10:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,NOT FINAL,לא סופי
RO,156,TAROM - RUMANIAN AIR TRANSPORT,2024-03-19T00:20:00,2024-03-19T00:20:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,ON TIME,בזמן
IZ,388,ARKIA  ISRAELI  AIRLINES,2024-03-19T00:30:00,2024-03-19T00:30:00,A,BEG,BELGRADE,בלגרד,BELGRADE,סרביה,SERBIA,3,NOT FINAL,לא סופי
AA,387,AMERICAN AIRLINES,2024-03-19T00:35:00,2024-03-19T00:35:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,NOT FINAL,לא סופי
AR,7874,AEROLINEAS ARGENTINAS S.A.,2024-03-19T00:35:00,2024-03-19T00:35:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,NOT FINAL,לא סופי
ET,404,ETHIOPIAN AIRLINES,2024-03-19T00:35:00,2024-03-19T00:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,NOT FINAL,לא סופי
LY,384,EL AL ISRAEL AIRLINES,2024-03-19T00:35:00,2024-03-19T00:35:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,NOT FINAL,לא סופי
LY,8804,EL AL ISRAEL AIRLINES,2024-03-19T00:35:00,2024-03-19T00:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,NOT FINAL,לא סופי
SK,3166,SAS,2024-03-19T00:35:00,2024-03-19T00:35:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,NOT FINAL,לא סופי
TP,8897,AIR PORTUGAL,2024-03-19T00:35:00,2024-03-19T00:35:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,NOT FINAL,לא סופי
LY,572,EL AL ISRAEL AIRLINES,2024-03-19T00:40:00,2024-03-19T00:40:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,NOT FINAL,לא סופי
AM,7869,AERO MEXICO,2024-03-19T00:45:00,2024-03-19T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
AM,7875,AERO MEXICO,2024-03-19T00:45:00,2024-03-19T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-03-19T00:45:00,2024-03-19T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-03-19T00:45:00,2024-03-19T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-03-19T00:45:00,2024-03-19T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
DL,7424,DELTA AIRLINES,2024-03-19T00:45:00,2024-03-19T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
DL,7428,DELTA AIRLINES,2024-03-19T00:45:00,2024-03-19T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
LY,001,EL AL ISRAEL AIRLINES,2024-03-19T00:45:00,2024-03-19T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
LY,005,EL AL ISRAEL AIRLINES,2024-03-19T00:45:00,2024-03-19T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
6H,584,ISRAIR AIRLINES,2024-03-19T00:45:00,2024-03-19T00:45:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,NOT FINAL,לא סופי
LY,244,EL AL ISRAEL AIRLINES,2024-03-19T00:50:00,2024-03-19T00:50:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,NOT FINAL,לא סופי
LY,2368,EL AL ISRAEL AIRLINES,2024-03-19T00:55:00,2024-03-19T00:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,NOT FINAL,לא סופי
LY,364,EL AL ISRAEL AIRLINES,2024-03-19T00:55:00,2024-03-19T00:55:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,NOT FINAL,לא סופי
AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-03-19T01:00:00,2024-03-19T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
B6,6467,JETBLUE AIRWAYS CORPORATION,2024-03-19T01:00:00,2024-03-19T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
DL,7437,DELTA AIRLINES,2024-03-19T01:00:00,2024-03-19T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
LY,017,EL AL ISRAEL AIRLINES,2024-03-19T01:00:00,2024-03-19T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
LY,282,EL AL ISRAEL AIRLINES,2024-03-19T01:00:00,2024-03-19T01:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,NOT FINAL,לא סופי
B6,6465,JETBLUE AIRWAYS CORPORATION,2024-03-19T01:05:00,2024-03-19T01:05:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
DL,7435,DELTA AIRLINES,2024-03-19T01:05:00,2024-03-19T01:05:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
LY,015,EL AL ISRAEL AIRLINES,2024-03-19T01:05:00,2024-03-19T01:05:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,ON TIME,בזמן
IZ,639,ARKIA  ISRAELI  AIRLINES,2024-03-19T01:10:00,2024-03-19T01:10:00,D,SEZ,MAHE SEYCHELLES INTL,מאהה,MAHE SEYCHELLES,איי סיישל,SEYCHELLES,3,ON TIME,בזמן
LY,356,EL AL ISRAEL AIRLINES,2024-03-19T01:15:00,2024-03-19T01:15:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,NOT FINAL,לא סופי
ET,405,ETHIOPIAN AIRLINES,2024-03-19T01:30:00,2024-03-19T01:30:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,ON TIME,בזמן
LY,8807,EL AL ISRAEL AIRLINES,2024-03-19T01:30:00,2024-03-19T01:30:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,ON TIME,בזמן
LY,376,EL AL ISRAEL AIRLINES,2024-03-19T02:30:00,2024-03-19T02:30:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,NOT FINAL,לא סופי
TP,8913,AIR PORTUGAL,2024-03-19T02:30:00,2024-03-19T02:30:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,NOT FINAL,לא סופי
LY,2524,EL AL ISRAEL AIRLINES,2024-03-19T02:50:00,2024-03-19T02:50:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,NOT FINAL,לא סופי
AM,7850,AERO MEXICO,2024-03-19T02:55:00,2024-03-19T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,NOT FINAL,לא סופי
LY,336,EL AL ISRAEL AIRLINES,2024-03-19T02:55:00,2024-03-19T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,NOT FINAL,לא סופי
SK,3152,SAS,2024-03-19T02:55:00,2024-03-19T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,NOT FINAL,לא סופי
OS,859,AUSTRIAN AIRLINES,2024-03-19T03:35:00,2024-03-19T03:35:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,NOT FINAL,לא סופי
