CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1T,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE
LO,152,LOT POLISH AIRLINES,2024-03-09 05:20:00,2024-03-09 05:41:00,D,WAW,WARSAW,WARSAW,POLAND,3,16-19,A,DEPARTED
LY,9255,EL AL ISRAEL AIRLINES,2024-03-09 05:20:00,2024-03-09 05:41:00,D,WAW,WARSAW,WARSAW,POLAND,3,16-19,A,DEPARTED
QS,1287,SMARTWINGS,2024-03-09 05:35:00,2024-03-09 05:43:00,D,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,64-66,C,DEPARTED
6H,141,ISRAIR AIRLINES,2024-03-09 05:50:00,2024-03-09 05:55:00,D,GNB,GRENOBLE-SAUNT GEOIRS,GRENOBLE,FRANCE,3,56-59,C,DEPARTED
NH,5620,ALL NIPPON AIRWAYS,2024-03-09 05:20:00,2024-03-09 05:59:00,D,VIE,VIENNA,VIENNA,AUSTRIA,3,29-33,A,DEPARTED
OS,860,AUSTRIAN AIRLINES,2024-03-09 05:20:00,2024-03-09 05:59:00,D,VIE,VIENNA,VIENNA,AUSTRIA,3,29-33,A,DEPARTED
6H,263,ISRAIR AIRLINES,2024-03-09 06:10:00,2024-03-09 06:21:00,D,MUC,MUNICH,MUNICH,GERMANY,3,59-62,C,DEPARTED
IZ,775,ARKIA  ISRAELI  AIRLINES,2024-03-09 08:30:00,2024-03-09 08:44:00,D,GNB,GRENOBLE-SAUNT GEOIRS,GRENOBLE,FRANCE,3,29-33,A,DEPARTED
UA,084,UNITED AIRLINES,2024-03-09 09:20:00,2024-03-09 09:01:00,A,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,,,LANDED
EK,2369,EMIRATES,2024-03-09 08:55:00,2024-03-09 09:44:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,LANDED
FZ,1549,FLYDUBAI,2024-03-09 08:55:00,2024-03-09 09:44:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,LANDED
IZ,413,ARKIA  ISRAELI  AIRLINES,2024-03-09 09:50:00,2024-03-09 10:02:00,D,BUS,BATUMI,BATUMI,GEORGIA,3,26-29,A,DEPARTED
IZ,413,ARKIA  ISRAELI  AIRLINES,2024-03-09 10:40:00,2024-03-09 10:40:00,D,BUS,BATUMI,BATUMI,GEORGIA,3,30-33,A,CANCELED
EK,2450,EMIRATES,2024-03-09 10:20:00,2024-03-09 11:17:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,LANDED
FZ,1081,FLYDUBAI,2024-03-09 10:20:00,2024-03-09 11:17:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,LANDED
UA,085,UNITED AIRLINES,2024-03-09 11:30:00,2024-03-09 11:40:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,12-18,A,DEPARTED
WZ,015,RED WINGS AIRLINES,2024-03-09 12:15:00,2024-03-09 11:58:00,A,DME,MOSCOW-DOMODEDOVO,MOSCOW,RUSSIAN FEDERATION,3,,,LANDED
A3,926,AEGEAN  AIRLINES,2024-03-09 12:00:00,2024-03-09 12:12:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,LANDED
JU,7620,AIR SERBIA,2024-03-09 12:00:00,2024-03-09 12:12:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,LANDED
IZ,161,ARKIA  ISRAELI  AIRLINES,2024-03-09 12:30:00,2024-03-09 12:30:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,26-30,A,DEPARTED
EK,2363,EMIRATES,2024-03-09 11:40:00,2024-03-09 12:56:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,LANDED
FZ,1211,FLYDUBAI,2024-03-09 11:40:00,2024-03-09 12:56:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,LANDED
EK,2451,EMIRATES,2024-03-09 11:35:00,2024-03-09 12:57:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,71-77,C,DEPARTED
FZ,1082,FLYDUBAI,2024-03-09 11:35:00,2024-03-09 12:57:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,71-77,C,DEPARTED
BZ,701,BLUE BIRD AIRWAYS,2024-03-09 13:30:00,2024-03-09 13:19:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,LANDED
ET,418,ETHIOPIAN AIRLINES,2024-03-09 13:35:00,2024-03-09 13:20:00,A,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,,,LANDED
LY,8808,EL AL ISRAEL AIRLINES,2024-03-09 13:35:00,2024-03-09 13:20:00,A,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,,,LANDED
EK,2370,EMIRATES,2024-03-09 10:10:00,2024-03-09 13:24:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,71-77,C,DEPARTED
FZ,1550,FLYDUBAI,2024-03-09 10:10:00,2024-03-09 13:24:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,71-77,C,DEPARTED
A3,927,AEGEAN  AIRLINES,2024-03-09 12:50:00,2024-03-09 13:33:00,D,ATH,ATHENS,ATHENS,GREECE,3,22-25,A,DEPARTED
EK,4978,EMIRATES,2024-03-09 12:50:00,2024-03-09 13:33:00,D,ATH,ATHENS,ATHENS,GREECE,3,22-25,A,DEPARTED
FB,1514,BULGARIA  AIR,2024-03-09 12:50:00,2024-03-09 13:33:00,D,ATH,ATHENS,ATHENS,GREECE,3,22-25,A,DEPARTED
JU,7621,AIR SERBIA,2024-03-09 12:50:00,2024-03-09 13:33:00,D,ATH,ATHENS,ATHENS,GREECE,3,22-25,A,DEPARTED
WZ,016,RED WINGS AIRLINES,2024-03-09 13:45:00,2024-03-09 13:46:00,D,AER,SOCHI,SOCHI,RUSSIAN FEDERATION,3,67-69,C,DEPARTED
6H,145,ISRAIR AIRLINES,2024-03-09 13:30:00,2024-03-09 13:48:00,D,GNB,GRENOBLE-SAUNT GEOIRS,GRENOBLE,FRANCE,3,63-66,C,DEPARTED
IZ,1841,ARKIA  ISRAELI  AIRLINES,2024-03-09 13:40:00,2024-03-09 13:49:00,D,ETM,RAMON,RAMON,ISRAEL,3,G12-G18,G,DEPARTED
CY,110,CYPRUS AIRWAYS,2024-03-09 14:00:00,2024-03-09 14:06:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,,,LANDED
EK,2364,EMIRATES,2024-03-09 12:55:00,2024-03-09 14:25:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,71-77,C,DEPARTED
FZ,1212,FLYDUBAI,2024-03-09 12:55:00,2024-03-09 14:25:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,71-77,C,DEPARTED
BZ,702,BLUE BIRD AIRWAYS,2024-03-09 14:25:00,2024-03-09 14:37:00,D,ATH,ATHENS,ATHENS,GREECE,3,17-19,A,DEPARTED
ET,419,ETHIOPIAN AIRLINES,2024-03-09 14:35:00,2024-03-09 14:45:00,D,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,56-62,C,DEPARTED
LY,8809,EL AL ISRAEL AIRLINES,2024-03-09 14:35:00,2024-03-09 14:45:00,D,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,56-62,C,DEPARTED
EK,2345,EMIRATES,2024-03-09 13:05:00,2024-03-09 14:52:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,LANDED
FZ,1125,FLYDUBAI,2024-03-09 13:05:00,2024-03-09 14:52:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,LANDED
6H,142,ISRAIR AIRLINES,2024-03-09 15:40:00,2024-03-09 15:09:00,A,GNB,GRENOBLE-SAUNT GEOIRS,GRENOBLE,FRANCE,3,,,LANDED
CY,111,CYPRUS AIRWAYS,2024-03-09 15:00:00,2024-03-09 15:11:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,20-22,A,DEPARTED
IZ,162,ARKIA  ISRAELI  AIRLINES,2024-03-09 15:30:00,2024-03-09 15:11:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,,,LANDED
6H,264,ISRAIR AIRLINES,2024-03-09 15:05:00,2024-03-09 15:18:00,A,MUC,MUNICH,MUNICH,GERMANY,3,,,LANDED
A4,5025,AZIMUTH AIRLINES,2024-03-09 15:35:00,2024-03-09 15:23:00,A,AER,SOCHI,SOCHI,RUSSIAN FEDERATION,3,,,LANDED
IZ,414,ARKIA  ISRAELI  AIRLINES,2024-03-09 15:45:00,2024-03-09 15:26:00,A,BUS,BATUMI,BATUMI,GEORGIA,3,,,LANDED
AC,9020,AIR CANADA,2024-03-09 15:40:00,2024-03-09 15:39:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,LANDED
LH,686,LUFTHANSA,2024-03-09 15:40:00,2024-03-09 15:39:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,LANDED
NH,5459,ALL NIPPON AIRWAYS,2024-03-09 15:40:00,2024-03-09 15:39:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,LANDED
SN,7173,BRUSSELS AIRLINES,2024-03-09 15:40:00,2024-03-09 15:39:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,LANDED
UA,9120,UNITED AIRLINES,2024-03-09 15:40:00,2024-03-09 15:39:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,LANDED
IZ,1842,ARKIA  ISRAELI  AIRLINES,2024-03-09 16:05:00,2024-03-09 15:58:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,LANDED
LH,680,LUFTHANSA,2024-03-09 16:05:00,2024-03-09 16:14:00,A,MUC,MUNICH,MUNICH,GERMANY,3,,,LANDED
SN,7171,BRUSSELS AIRLINES,2024-03-09 16:05:00,2024-03-09 16:14:00,A,MUC,MUNICH,MUNICH,GERMANY,3,,,LANDED
UA,9471,UNITED AIRLINES,2024-03-09 16:05:00,2024-03-09 16:14:00,A,MUC,MUNICH,MUNICH,GERMANY,3,,,LANDED
EK,2346,EMIRATES,2024-03-09 14:20:00,2024-03-09 16:16:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,71-77,C,DEPARTED
FZ,1126,FLYDUBAI,2024-03-09 14:20:00,2024-03-09 16:16:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,71-77,C,DEPARTED
IZ,213,ARKIA  ISRAELI  AIRLINES,2024-03-09 16:30:00,2024-03-09 16:35:00,D,ATH,ATHENS,ATHENS,GREECE,3,12-16,A,DEPARTED
6H,143,ISRAIR AIRLINES,2024-03-09 16:20:00,2024-03-09 16:45:00,D,GNB,GRENOBLE-SAUNT GEOIRS,GRENOBLE,FRANCE,3,63-66,C,DEPARTED
LX,252,SWISS INT`L  AIRLINES,2024-03-09 17:10:00,2024-03-09 16:57:00,A,ZRH,ZURICH,ZURICH,SWITZERLAND,3,,,LANDED
IZ,1843,ARKIA  ISRAELI  AIRLINES,2024-03-09 17:00:00,2024-03-09 17:12:00,D,ETM,RAMON,RAMON,ISRAEL,3,G12-G18,G,DEPARTED
LH,687,LUFTHANSA,2024-03-09 16:45:00,2024-03-09 17:16:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,24-33,A,DEPARTED
SN,7174,BRUSSELS AIRLINES,2024-03-09 16:45:00,2024-03-09 17:16:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,24-33,A,DEPARTED
UA,9123,UNITED AIRLINES,2024-03-09 16:45:00,2024-03-09 17:16:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,24-33,A,DEPARTED
A4,5026,AZIMUTH AIRLINES,2024-03-09 17:35:00,2024-03-09 17:39:00,D,AER,SOCHI,SOCHI,RUSSIAN FEDERATION,3,17-19,A,DEPARTED
LH,681,LUFTHANSA,2024-03-09 17:10:00,2024-03-09 17:53:00,D,MUC,MUNICH,MUNICH,GERMANY,3,24-33,A,DEPARTED
SN,7172,BRUSSELS AIRLINES,2024-03-09 17:10:00,2024-03-09 17:53:00,D,MUC,MUNICH,MUNICH,GERMANY,3,24-33,A,DEPARTED
LX,253,SWISS INT`L  AIRLINES,2024-03-09 18:20:00,2024-03-09 18:25:00,D,ZRH,ZURICH,ZURICH,SWITZERLAND,3,24-33,A,DEPARTED
IZ,829,ARKIA  ISRAELI  AIRLINES,2024-03-09 18:50:00,2024-03-09 18:58:00,D,ETM,RAMON,RAMON,ISRAEL,3,G12-G18,G,DEPARTED
IZ,1844,ARKIA  ISRAELI  AIRLINES,2024-03-09 19:15:00,2024-03-09 19:13:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,LANDED
6H,044,ISRAIR AIRLINES,2024-03-09 19:25:00,2024-03-09 19:19:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,LANDED
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-03-09 19:35:00,2024-03-09 19:31:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,LANDED
U8,108,TUS AIRWAYS,2024-03-09 20:00:00,2024-03-09 19:49:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,,,LANDED
W9,4451,WIZZ UK,2024-03-09 21:05:00,2024-03-09 20:42:00,A,LTN,LUTON,LONDON LUTON,UNITED KINGDOM,3,,,LANDED
IZ,1845,ARKIA  ISRAELI  AIRLINES,2024-03-09 20:10:00,2024-03-09 20:51:00,D,ETM,RAMON,RAMON,ISRAEL,3,G12-G18,G,DEPARTED
6H,047,ISRAIR AIRLINES,2024-03-09 20:30:00,2024-03-09 21:11:00,D,ETM,RAMON,RAMON,ISRAEL,3,G1-G6,G,DEPARTED
IZ,820,ARKIA  ISRAELI  AIRLINES,2024-03-09 21:15:00,2024-03-09 21:16:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,LANDED
IZ,214,ARKIA  ISRAELI  AIRLINES,2024-03-09 21:35:00,2024-03-09 21:25:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,LANDED
LY,081,EL AL ISRAEL AIRLINES,2024-03-09 21:35:00,2024-03-09 21:46:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,78-99,D,DEPARTED
QF,5020,QANTAS AIRWAYS,2024-03-09 21:35:00,2024-03-09 21:46:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,78-99,D,DEPARTED
TG,4584,THAI AIRWAYS,2024-03-09 21:35:00,2024-03-09 21:46:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,78-99,D,DEPARTED
VN,3298,VIETNAM AIRLINES,2024-03-09 21:35:00,2024-03-09 21:46:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,78-99,D,DEPARTED
LY,083,EL AL ISRAEL AIRLINES,2024-03-09 21:45:00,2024-03-09 22:01:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,78-99,D,DEPARTED
QF,5018,QANTAS AIRWAYS,2024-03-09 21:45:00,2024-03-09 22:01:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,78-99,D,DEPARTED
TG,4586,THAI AIRWAYS,2024-03-09 21:45:00,2024-03-09 22:01:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,78-99,D,DEPARTED
LY,091,EL AL ISRAEL AIRLINES,2024-03-09 21:45:00,2024-03-09 22:12:00,D,NRT,TOKYO INTL.-NARITA,TOKYO,JAPAN,3,78-99,D,DEPARTED
LY,5131,EL AL ISRAEL AIRLINES,2024-03-09 22:00:00,2024-03-09 22:14:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,78-99,D,DEPARTED
W9,4452,WIZZ UK,2024-03-09 21:55:00,2024-03-09 22:19:00,D,LTN,LUTON,LONDON LUTON,UNITED KINGDOM,3,56-59,C,DEPARTED
IZ,1846,ARKIA  ISRAELI  AIRLINES,2024-03-09 22:40:00,2024-03-09 22:44:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,LANDING
6H,048,ISRAIR AIRLINES,2024-03-09 23:15:00,2024-03-09 23:13:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,FINAL
6H,146,ISRAIR AIRLINES,2024-03-09 23:20:00,2024-03-09 23:15:00,A,GNB,GRENOBLE-SAUNT GEOIRS,GRENOBLE,FRANCE,3,,,FINAL
LY,572,EL AL ISRAEL AIRLINES,2024-03-10 00:20:00,2024-03-10 00:00:00,A,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,,,FINAL
B6,6481,JETBLUE AIRWAYS CORPORATION,2024-03-10 00:05:00,2024-03-10 00:05:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,78-99,D,ON TIME
DL,7441,DELTA AIRLINES,2024-03-10 00:05:00,2024-03-10 00:05:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,78-99,D,ON TIME
LY,025,EL AL ISRAEL AIRLINES,2024-03-10 00:05:00,2024-03-10 00:05:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,78-99,D,ON TIME
LY,544,EL AL ISRAEL AIRLINES,2024-03-10 00:25:00,2024-03-10 00:17:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,FINAL
ET,404,ETHIOPIAN AIRLINES,2024-03-10 00:35:00,2024-03-10 00:26:00,A,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,,,FINAL
LY,8804,EL AL ISRAEL AIRLINES,2024-03-10 00:35:00,2024-03-10 00:26:00,A,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,,,FINAL
AM,7869,AERO MEXICO,2024-03-10 00:45:00,2024-03-10 00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,78-99,D,ON TIME
AM,7875,AERO MEXICO,2024-03-10 00:45:00,2024-03-10 00:45:00,D,LAX,LOS ANGELES,LOS ANGELES,UNITED STATES,3,78-99,D,ON TIME
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-03-10 00:45:00,2024-03-10 00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,78-99,D,ON TIME
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-03-10 00:45:00,2024-03-10 00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,78-99,D,ON TIME
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-03-10 00:45:00,2024-03-10 00:45:00,D,LAX,LOS ANGELES,LOS ANGELES,UNITED STATES,3,78-99,D,ON TIME
DL,7424,DELTA AIRLINES,2024-03-10 00:45:00,2024-03-10 00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,78-99,D,ON TIME
DL,7428,DELTA AIRLINES,2024-03-10 00:45:00,2024-03-10 00:45:00,D,LAX,LOS ANGELES,LOS ANGELES,UNITED STATES,3,78-99,D,ON TIME
LY,001,EL AL ISRAEL AIRLINES,2024-03-10 00:45:00,2024-03-10 00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,78-99,D,ON TIME
LY,005,EL AL ISRAEL AIRLINES,2024-03-10 00:45:00,2024-03-10 00:45:00,D,LAX,LOS ANGELES,LOS ANGELES,UNITED STATES,3,78-99,D,ON TIME
6H,728,ISRAIR AIRLINES,2024-03-10 01:10:00,2024-03-10 00:49:00,A,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,,,FINAL
AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-03-10 01:00:00,2024-03-10 01:00:00,D,MIA,MIAMI INTERNATIONAL,MIAMI,UNITED STATES,3,78-99,D,ON TIME
B6,6467,JETBLUE AIRWAYS CORPORATION,2024-03-10 01:00:00,2024-03-10 01:00:00,D,MIA,MIAMI INTERNATIONAL,MIAMI,UNITED STATES,3,78-99,D,ON TIME
B6,6483,JETBLUE AIRWAYS CORPORATION,2024-03-10 01:00:00,2024-03-10 01:00:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,78-99,D,ON TIME
DL,7437,DELTA AIRLINES,2024-03-10 01:00:00,2024-03-10 01:00:00,D,MIA,MIAMI INTERNATIONAL,MIAMI,UNITED STATES,3,78-99,D,ON TIME
DL,7443,DELTA AIRLINES,2024-03-10 01:00:00,2024-03-10 01:00:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,78-99,D,ON TIME
LY,017,EL AL ISRAEL AIRLINES,2024-03-10 01:00:00,2024-03-10 01:00:00,D,MIA,MIAMI INTERNATIONAL,MIAMI,UNITED STATES,3,78-99,D,ON TIME
LY,027,EL AL ISRAEL AIRLINES,2024-03-10 01:00:00,2024-03-10 01:00:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,78-99,D,ON TIME
B6,6465,JETBLUE AIRWAYS CORPORATION,2024-03-10 01:05:00,2024-03-10 01:05:00,D,BOS,BOSTON-LOGAN INT,BOSTON,UNITED STATES,3,78-99,D,ON TIME
DL,7435,DELTA AIRLINES,2024-03-10 01:05:00,2024-03-10 01:05:00,D,BOS,BOSTON-LOGAN INT,BOSTON,UNITED STATES,3,78-99,D,ON TIME
LY,015,EL AL ISRAEL AIRLINES,2024-03-10 01:05:00,2024-03-10 01:05:00,D,BOS,BOSTON-LOGAN INT,BOSTON,UNITED STATES,3,78-99,D,ON TIME
LY,611,EL AL ISRAEL AIRLINES,2024-03-10 01:15:00,2024-03-10 01:15:00,D,DME,MOSCOW-DOMODEDOVO,MOSCOW,RUSSIAN FEDERATION,3,78-99,D,ON TIME
ET,405,ETHIOPIAN AIRLINES,2024-03-10 01:30:00,2024-03-10 01:30:00,D,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,56-62,C,ON TIME
LY,8807,EL AL ISRAEL AIRLINES,2024-03-10 01:30:00,2024-03-10 01:30:00,D,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,56-62,C,ON TIME
BZ,705,BLUE BIRD AIRWAYS,2024-03-10 01:55:00,2024-03-10 01:55:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,NOT FINAL
6H,144,ISRAIR AIRLINES,2024-03-10 02:10:00,2024-03-10 01:58:00,A,GNB,GRENOBLE-SAUNT GEOIRS,GRENOBLE,FRANCE,3,,,FINAL
LY,5132,EL AL ISRAEL AIRLINES,2024-03-10 02:00:00,2024-03-10 02:00:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,,,NOT FINAL
LY,5102,EL AL ISRAEL AIRLINES,2024-03-10 02:10:00,2024-03-10 02:00:00,A,WAW,WARSAW,WARSAW,POLAND,3,,,FINAL
AA,387,AMERICAN AIRLINES,2024-03-10 02:15:00,2024-03-10 02:15:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,,,NOT FINAL
AR,7874,AEROLINEAS ARGENTINAS S.A.,2024-03-10 02:15:00,2024-03-10 02:15:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,,,NOT FINAL
LY,384,EL AL ISRAEL AIRLINES,2024-03-10 02:15:00,2024-03-10 02:15:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,,,NOT FINAL
SK,3166,SAS,2024-03-10 02:15:00,2024-03-10 02:15:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,,,NOT FINAL
TP,8897,AIR PORTUGAL,2024-03-10 02:15:00,2024-03-10 02:15:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,,,NOT FINAL
LY,388,EL AL ISRAEL AIRLINES,2024-03-10 02:55:00,2024-03-10 02:55:00,A,MXP,MILAN-MALPENSA,MILAN,ITALY,3,,,NOT FINAL
SK,3180,SAS,2024-03-10 02:55:00,2024-03-10 02:55:00,A,MXP,MILAN-MALPENSA,MILAN,ITALY,3,,,NOT FINAL
TP,8901,AIR PORTUGAL,2024-03-10 02:55:00,2024-03-10 02:55:00,A,MXP,MILAN-MALPENSA,MILAN,ITALY,3,,,NOT FINAL
A3,928,AEGEAN  AIRLINES,2024-03-10 03:00:00,2024-03-10 03:00:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,NOT FINAL
FB,1528,BULGARIA  AIR,2024-03-10 03:00:00,2024-03-10 03:00:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,NOT FINAL
LY,5014,EL AL ISRAEL AIRLINES,2024-03-10 03:20:00,2024-03-10 03:20:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,NOT FINAL
OS,859,AUSTRIAN AIRLINES,2024-03-10 03:35:00,2024-03-10 03:35:00,A,VIE,VIENNA,VIENNA,AUSTRIA,3,,,NOT FINAL
LO,151,LOT POLISH AIRLINES,2024-03-10 03:45:00,2024-03-10 03:45:00,A,WAW,WARSAW,WARSAW,POLAND,3,,,NOT FINAL
