Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
LY,616,2022-03-08 00:55:00,2022-03-08 01:19:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED
AM,7875,2022-03-08 01:05:00,2022-03-08 01:22:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
LY,005,2022-03-08 01:05:00,2022-03-08 01:22:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
EK,2346,2022-03-08 00:45:00,2022-03-08 01:26:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,1,DEPARTED
FZ,1808,2022-03-08 00:45:00,2022-03-08 01:26:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,1,DEPARTED
LY,544,2022-03-08 01:55:00,2022-03-08 01:29:00,A,ATH,ATHENS,GREECE,3,LANDED
FB,571,2022-03-08 02:00:00,2022-03-08 01:32:00,A,SOF,SOFIA,BULGARIA,3,LANDED
6H,666,2022-03-08 02:05:00,2022-03-08 02:05:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,CANCELED
AF,8425,2022-03-08 02:20:00,2022-03-08 02:11:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
DL,9575,2022-03-08 02:20:00,2022-03-08 02:11:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
KL,461,2022-03-08 02:20:00,2022-03-08 02:11:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
KQ,1461,2022-03-08 02:20:00,2022-03-08 02:11:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
LH,682,2022-03-08 02:50:00,2022-03-08 02:33:00,A,MUC,MUNICH,GERMANY,3,LANDED
TK,810,2022-03-08 02:35:00,2022-03-08 02:36:00,A,IST,ISTANBUL,TURKEY,3,LANDED
AA,8373,2022-03-08 03:05:00,2022-03-08 02:37:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
AM,7876,2022-03-08 03:05:00,2022-03-08 02:37:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
LY,318,2022-03-08 03:05:00,2022-03-08 02:37:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
ET,404,2022-03-08 03:00:00,2022-03-08 02:49:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,8804,2022-03-08 03:00:00,2022-03-08 02:49:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,2374,2022-03-08 03:10:00,2022-03-08 02:53:00,A,BER,BERLIN,GERMANY,3,LANDED
AZ,810,2022-03-08 03:30:00,2022-03-08 03:08:00,A,FCO,ROME,ITALY,3,LANDED
LX,256,2022-03-08 03:30:00,2022-03-08 03:15:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
AM,7854,2022-03-08 03:55:00,2022-03-08 03:17:00,A,CDG,PARIS,FRANCE,3,LANDED
LY,326,2022-03-08 03:55:00,2022-03-08 03:17:00,A,CDG,PARIS,FRANCE,3,LANDED
LY,614,2022-03-08 02:55:00,2022-03-08 03:20:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED
DL,5937,2022-03-08 04:15:00,2022-03-08 03:29:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
VS,453,2022-03-08 04:15:00,2022-03-08 03:29:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
LO,151,2022-03-08 03:35:00,2022-03-08 03:55:00,A,WAW,WARSAW,POLAND,3,LANDED
